ESTU_GENERO,ESTU_DEPTO_RESIDE,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,ESTU_HORASSEMANATRABAJA,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,COLE_JORNADA,COLE_GENERO,COLE_NATURALEZA,COLE_CARACTER,COLE_AREA_UBICACION,PUNT_MATEMATICAS,PUNT_INGLES,PUNT_C_NATURALES,PUNT_LECTURA_CRITICA,PUNT_SOCIALES_CIUDADANAS,PUNT_GLOBAL
M,CAUCA,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 1,3 a 4,Si,Si,26 A 100 LIBROS,Menos de 10 horas,1 o 2 veces por semana,Todos o casi todos los días,COMPLETA,MIXTO,OFICIAL,TÉCNICO,RURAL,34.0,37.0,38.0,37.0,26.0,170.0
M,VAUPES,Ninguno,Primaria completa,Estrato 3,9 o más,No,Si,11 A 25 LIBROS,Entre 11 y 20 horas,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,MAÑANA,MIXTO,OFICIAL,TÉCNICO,RURAL,34.0,33.0,39.0,31.0,32.0,170.0
F,CAUCA,Secundaria (Bachillerato) completa,No sabe,Estrato 4,9 o más,Si,No,26 A 100 LIBROS,Más de 30 horas,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,COMPLETA,MIXTO,OFICIAL,TÉCNICO,RURAL,29.0,36.0,40.0,36.0,32.0,172.0
F,CAUCA,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 1,7 a 8,Si,Si,26 A 100 LIBROS,Entre 11 y 20 horas,1 o 2 veces por semana,Todos o casi todos los días,COMPLETA,MIXTO,OFICIAL,ACADÉMICO,RURAL,36.0,40.0,28.0,38.0,33.0,171.0
F,CAUCA,Primaria completa,Primaria incompleta,Sin Estrato,5 a 6,No,No,0 A 10 LIBROS,0,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,MAÑANA,MIXTO,OFICIAL,NO APLICA,RURAL,32.0,36.0,36.0,34.0,34.0,171.0
M,CAUCA,Ninguno,Primaria incompleta,Estrato 2,1 a 2,No,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,22.0,47.12840074852454,33.0,44.0,30.0,161.0
M,CAUCA,Secundaria (Bachillerato) completa,Primaria completa,Estrato 1,3 a 4,No,No,0 A 10 LIBROS,0,3 a 5 veces por semana,1 o 2 veces por semana,COMPLETA,MIXTO,OFICIAL,TÉCNICO,RURAL,28.0,36.0,40.0,37.0,31.0,171.0
F,GUAINIA,Primaria completa,Primaria incompleta,Sin Estrato,7 a 8,No,No,0 A 10 LIBROS,Menos de 10 horas,Todos o casi todos los días,3 a 5 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,27.0,36.0,34.0,40.0,36.0,172.0
M,HUILA,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,COMPLETA,MIXTO,OFICIAL,ACADÉMICO,RURAL,28.0,47.12840074852454,40.0,36.0,25.0,161.0
F,AMAZONAS,Secundaria (Bachillerato) incompleta,Ninguno,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,Todos o casi todos los días,COMPLETA,MIXTO,OFICIAL,TÉCNICO,RURAL,31.0,30.0,32.0,40.0,36.0,172.0
M,CORDOBA,Primaria incompleta,Primaria incompleta,Estrato 1,9 o más,No,No,0 A 10 LIBROS,Menos de 10 horas,Nunca o rara vez comemos eso,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,RURAL,41.0,29.0,31.0,41.0,26.0,172.0
M,CORDOBA,Primaria incompleta,Primaria incompleta,Estrato 1,3 a 4,No,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,RURAL,33.0,39.0,31.0,34.0,38.0,172.0
M,CORDOBA,Primaria completa,Primaria incompleta,Estrato 1,3 a 4,No,No,11 A 25 LIBROS,Menos de 10 horas,1 o 2 veces por semana,3 a 5 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,38.0,31.0,34.0,37.0,29.0,171.0
F,CESAR,Primaria completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,No,No,11 A 25 LIBROS,Menos de 10 horas,1 o 2 veces por semana,1 o 2 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO,RURAL,31.0,36.0,40.0,36.0,29.0,171.0
F,CESAR,Secundaria (Bachillerato) incompleta,Técnica o tecnológica completa,Estrato 2,3 a 4,No,No,11 A 25 LIBROS,Entre 11 y 20 horas,3 a 5 veces por semana,1 o 2 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO,RURAL,39.0,45.0,35.0,31.0,29.0,172.0
F,VAUPES,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,Sin Estrato,3 a 4,Si,No,0 A 10 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,23.0,38.0,40.0,40.0,34.0,173.0
M,CHOCO,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Estrato 1,1 a 2,No,Si,11 A 25 LIBROS,Menos de 10 horas,3 a 5 veces por semana,3 a 5 veces por semana,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,RURAL,34.0,36.0,36.0,38.0,30.0,173.0
M,AMAZONAS,Secundaria (Bachillerato) incompleta,Primaria incompleta,Estrato 2,7 a 8,No,No,0 A 10 LIBROS,Entre 21 y 30 horas,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,RURAL,26.0,47.12840074852454,35.0,38.0,31.0,162.0
M,AMAZONAS,Ninguno,Ninguno,Estrato 3,5 a 6,No,No,11 A 25 LIBROS,Menos de 10 horas,3 a 5 veces por semana,3 a 5 veces por semana,COMPLETA,MIXTO,OFICIAL,ACADÉMICO,RURAL,36.0,42.0,33.0,38.0,29.0,173.0
F,CAUCA,Secundaria (Bachillerato) incompleta,Primaria completa,Estrato 6,5 a 6,No,No,0 A 10 LIBROS,Menos de 10 horas,Nunca o rara vez comemos eso,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO,URBANO,28.0,45.0,34.0,37.0,36.0,173.0
M,CAUCA,Primaria completa,Primaria incompleta,Estrato 4,9 o más,Si,Si,0 A 10 LIBROS,0,1 o 2 veces por semana,3 a 5 veces por semana,COMPLETA,MIXTO,OFICIAL,TÉCNICO,RURAL,37.0,30.0,33.0,37.0,33.0,173.0
F,CAUCA,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,Sin Estrato,3 a 4,Si,No,0 A 10 LIBROS,Menos de 10 horas,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,MAÑANA,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,31.0,47.12840074852454,30.0,34.0,35.0,162.0
M,ANTIOQUIA,Primaria incompleta,Secundaria (Bachillerato) completa,Estrato 1,5 a 6,No,No,0 A 10 LIBROS,0,1 o 2 veces por semana,1 o 2 veces por semana,COMPLETA,MIXTO,OFICIAL,ACADÉMICO,RURAL,27.0,31.0,38.0,41.0,34.0,173.0
M,CORDOBA,Secundaria (Bachillerato) incompleta,Primaria completa,Estrato 3,5 a 6,No,Si,26 A 100 LIBROS,0,3 a 5 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,RURAL,36.0,36.0,35.0,33.0,35.0,174.0
F,CORDOBA,Primaria incompleta,Ninguno,Estrato 1,7 a 8,No,No,11 A 25 LIBROS,Entre 11 y 20 horas,1 o 2 veces por semana,3 a 5 veces por semana,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,RURAL,39.0,32.0,32.0,39.0,30.0,174.0
M,CORDOBA,Primaria incompleta,Ninguno,Estrato 1,5 a 6,Si,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,NO APLICA,RURAL,36.0,37.0,32.0,38.0,32.0,173.0
F,CAUCA,Primaria completa,Primaria incompleta,Estrato 1,5 a 6,No,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,1 o 2 veces por semana,COMPLETA,MIXTO,OFICIAL,TÉCNICO,RURAL,23.0,35.0,44.0,38.0,34.0,174.0
F,CAUCA,Primaria incompleta,Primaria incompleta,Estrato 1,3 a 4,Si,No,0 A 10 LIBROS,Menos de 10 horas,Nunca o rara vez comemos eso,1 o 2 veces por semana,COMPLETA,MIXTO,OFICIAL,TÉCNICO,RURAL,28.0,31.0,33.0,39.0,40.0,173.0
F,VAUPES,No sabe,No sabe,Estrato 2,3 a 4,No,No,26 A 100 LIBROS,Menos de 10 horas,Nunca o rara vez comemos eso,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,28.0,43.0,40.0,36.0,32.0,173.0
F,CAUCA,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,5 a 6,Si,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO,RURAL,32.0,47.12840074852454,27.0,36.0,36.0,164.0
M,CAUCA,Secundaria (Bachillerato) incompleta,Primaria completa,Estrato 3,5 a 6,Si,No,11 A 25 LIBROS,Menos de 10 horas,Todos o casi todos los días,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO,URBANO,41.0,37.0,33.0,33.0,32.0,175.0
M,CAUCA,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Estrato 1,5 a 6,Si,Si,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO,RURAL,27.0,47.12840074852454,37.0,33.0,34.0,164.0
F,SUCRE,Primaria incompleta,Secundaria (Bachillerato) incompleta,Sin Estrato,3 a 4,No,No,0 A 10 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,RURAL,24.0,34.0,41.0,45.0,30.0,175.0
F,HUILA,Primaria incompleta,Primaria incompleta,Sin Estrato,9 o más,No,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,3 a 5 veces por semana,NOCHE,MIXTO,OFICIAL,ACADÉMICO,URBANO,22.0,47.12840074852454,42.0,40.0,27.0,164.0
F,CALDAS,Primaria completa,Primaria completa,Estrato 3,3 a 4,Si,No,0 A 10 LIBROS,0,Todos o casi todos los días,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO,RURAL,32.0,38.0,34.0,28.0,45.0,175.0
M,CAUCA,Primaria incompleta,Primaria completa,Estrato 3,7 a 8,Si,No,11 A 25 LIBROS,Entre 21 y 30 horas,Nunca o rara vez comemos eso,1 o 2 veces por semana,COMPLETA,MIXTO,NO OFICIAL,TÉCNICO/ACADÉMICO,RURAL,27.0,35.0,39.0,39.0,35.0,175.0
M,CORDOBA,Secundaria (Bachillerato) incompleta,Primaria incompleta,Estrato 2,5 a 6,No,No,11 A 25 LIBROS,0,1 o 2 veces por semana,3 a 5 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,46.0,31.0,35.0,26.0,34.0,175.0
F,CORDOBA,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,5 a 6,Si,No,11 A 25 LIBROS,Menos de 10 horas,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,URBANO,31.0,40.0,39.0,39.0,29.0,175.0
M,AMAZONAS,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 4,5 a 6,No,No,0 A 10 LIBROS,Menos de 10 horas,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,COMPLETA,MIXTO,OFICIAL,ACADÉMICO,RURAL,30.0,33.0,41.0,38.0,33.0,177.0
M,CORDOBA,Primaria incompleta,Ninguno,Estrato 2,3 a 4,No,No,11 A 25 LIBROS,Menos de 10 horas,1 o 2 veces por semana,3 a 5 veces por semana,SABATINA,MIXTO,NO OFICIAL,TÉCNICO/ACADÉMICO,URBANO,33.0,47.12840074852454,36.0,30.0,33.0,165.0
M,NARIÑO,Primaria incompleta,Secundaria (Bachillerato) completa,Estrato 1,3 a 4,No,No,0 A 10 LIBROS,Menos de 10 horas,Nunca o rara vez comemos eso,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO,RURAL,31.0,29.0,36.0,42.0,34.0,176.0
F,CAUCA,Primaria incompleta,Primaria completa,Sin Estrato,3 a 4,Si,No,0 A 10 LIBROS,0,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,MAÑANA,MIXTO,OFICIAL,TÉCNICO,RURAL,32.0,39.0,36.0,38.0,34.0,177.0
F,MAGDALENA,Ninguno,Primaria incompleta,Estrato 1,5 a 6,No,No,11 A 25 LIBROS,Menos de 10 horas,Nunca o rara vez comemos eso,Todos o casi todos los días,UNICA,MIXTO,OFICIAL,ACADÉMICO,RURAL,31.0,47.12840074852454,37.0,29.0,35.0,165.0
F,TOLIMA,Primaria completa,Primaria incompleta,Estrato 1,7 a 8,No,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,Todos o casi todos los días,UNICA,MIXTO,OFICIAL,ACADÉMICO,RURAL,34.0,47.0,36.0,27.0,40.0,176.0
F,PUTUMAYO,Primaria incompleta,Primaria incompleta,Estrato 2,5 a 6,No,No,0 A 10 LIBROS,0,Nunca o rara vez comemos eso,1 o 2 veces por semana,SABATINA,MIXTO,OFICIAL,ACADÉMICO,URBANO,42.0,45.0,31.0,31.0,34.0,177.0
M,SUCRE,Técnica o tecnológica completa,Técnica o tecnológica incompleta,Estrato 5,5 a 6,Si,No,0 A 10 LIBROS,Entre 11 y 20 horas,1 o 2 veces por semana,3 a 5 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,30.0,38.0,35.0,43.0,32.0,176.0
M,AMAZONAS,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 1,5 a 6,No,Si,26 A 100 LIBROS,Menos de 10 horas,3 a 5 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,37.0,30.0,33.0,41.0,32.0,177.0
F,CORDOBA,Primaria incompleta,Primaria incompleta,Estrato 3,3 a 4,No,No,MÁS DE 100 LIBROS,Menos de 10 horas,Nunca o rara vez comemos eso,3 a 5 veces por semana,TARDE,MIXTO,OFICIAL,ACADÉMICO,RURAL,35.0,34.0,35.0,37.0,34.0,176.0
F,ANTIOQUIA,Primaria incompleta,Ninguno,Estrato 1,3 a 4,No,No,0 A 10 LIBROS,0,Nunca o rara vez comemos eso,Todos o casi todos los días,COMPLETA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,42.0,35.0,34.0,42.0,23.0,176.0
M,CORDOBA,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 1,3 a 4,No,No,0 A 10 LIBROS,0,1 o 2 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,RURAL,34.0,37.0,37.0,44.0,25.0,176.0
M,CORDOBA,Secundaria (Bachillerato) completa,Primaria completa,Estrato 1,3 a 4,Si,No,11 A 25 LIBROS,Menos de 10 horas,3 a 5 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,URBANO,31.0,37.0,34.0,42.0,34.0,177.0
F,AMAZONAS,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 3,5 a 6,No,No,0 A 10 LIBROS,Entre 11 y 20 horas,1 o 2 veces por semana,3 a 5 veces por semana,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,RURAL,29.0,40.0,36.0,39.0,36.0,177.0
M,CESAR,Primaria completa,Primaria completa,Estrato 2,9 o más,Si,No,0 A 10 LIBROS,Menos de 10 horas,3 a 5 veces por semana,3 a 5 veces por semana,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,RURAL,34.0,38.0,32.0,42.0,32.0,176.0
M,TOLIMA,Ninguno,Secundaria (Bachillerato) incompleta,Estrato 1,3 a 4,No,No,0 A 10 LIBROS,Entre 11 y 20 horas,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,UNICA,MIXTO,OFICIAL,ACADÉMICO,RURAL,36.0,39.0,42.0,35.0,28.0,178.0
M,CHOCO,Primaria completa,Secundaria (Bachillerato) incompleta,Estrato 1,5 a 6,No,No,11 A 25 LIBROS,Menos de 10 horas,1 o 2 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,RURAL,32.0,47.12840074852454,32.0,34.0,35.0,166.0
F,VAUPES,Primaria incompleta,Primaria incompleta,Estrato 2,1 a 2,No,No,0 A 10 LIBROS,0,1 o 2 veces por semana,Nunca o rara vez comemos eso,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,39.0,39.0,41.0,31.0,30.0,178.0
F,CAUCA,Educación profesional incompleta,Secundaria (Bachillerato) incompleta,Estrato 1,5 a 6,No,No,MÁS DE 100 LIBROS,Menos de 10 horas,1 o 2 veces por semana,Nunca o rara vez comemos eso,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,31.0,30.0,43.0,33.0,37.0,178.0
